id,tag
129,SaaS
129,Marketing
88,SaaS
88,B2B
86,Education
98,Fintech
98,Payments
91,Documents
91,Legal
91,LegalTech
90,Machine Learning
90,Healthcare
85,SaaS
85,B2B
85,E-commerce
83,SaaS
83,Health Tech
83,Biotech
83,Enterprise
82,SaaS
76,Developer Tools
76,SaaS
76,B2B
76,Messaging
76,Marketing
73,Developer Tools
73,Recruiting
72,Developer Tools
72,Open Source
72,GraphQL
116,Developer Tools
116,SaaS
116,Video
112,Marketplace
112,Video
110,SaaS
110,B2B
105,B2B
105,Sales
105,Marketing
105,AI
102,Fintech
102,Machine Learning
102,SaaS
102,B2B
99,Analytics
99,Social
89,Open Source
89,Big Data
89,Databases
87,Cloud Workload Protection
87,DevSecOps
87,Next-gen Network Security
80,Fintech
79,Grocery
75,Music
74,Collaboration
71,Developer Tools
70,Analytics
130,IoT
130,Automotive
124,SaaS
124,Advertising
122,Advertising
117,DevOps
117,Databases
115,Education
115,Gaming
106,Delivery
106,Food Tech
104,Transportation
103,Education
101,E-Commerce
101,Location-based
95,SaaS
95,Productivity
95,Email
94,Video
92,Education
84,Sales
84,CRM
84,Telecommunications
81,Developer Tools
77,Augmented Reality
128,Real Estate
128,Proptech
126,Documents
126,SaaS
126,Collaboration
125,Marketplace
125,Real Estate
121,Marketplace
120,Insurance
114,Video
114,Advertising
109,Marketplace
109,Reviews
108,Social Network
107,Productivity
100,Analytics
40,Developer Tools
40,B2B
40,Analytics
40,Marketing
40,Data Visualization
30,Computer Vision
8,Construction
60,Fintech
60,Payments
24,B2B
24,Payroll
24,Health Insurance
4940,Fintech
62,Healthcare
52,Hardware
52,IoT
52,Telecommunications
5,Hard Tech
5,Hardware
5,Robotics
35,Productivity
35,Collaboration
32,Marketplace
31,E-Commerce
31,Retail
31,Fashion
19,Cloud Computing
16,Messaging
16,Healthcare
1548,SaaS
1548,IoT
1548,B2B
1548,Enterprise
1548,AI
14,SaaS
14,B2B
14,HR Tech
10,Marketplace
10,SaaS
10,Recruiting
7,Real Estate
7,Proptech
67,E-Commerce
67,Retail
65,Video
65,Social
58,Automotive
54,Video
54,Media
51,Fintech
51,SaaS
51,HR Tech
50,Computer Vision
49,Security
47,Analytics
47,Agriculture
44,Developer Tools
44,SaaS
44,B2B
42,Crowdfunding
38,Marketplace
29,Social Media
29,Marketing
29,Automation
25,Consumer
25,Messaging
25,Social
25,Social Network
20,Fintech
20,Payments
20,API
18,Productivity
18,Collaboration
15,Analytics
15,Big Data
13,SaaS
13,Travel
11,Messaging
11,Enterprise
11,SMB
9,Security
9,Enterprise
66,Nonprofit
66,Fundraising
63,Automotive
61,Productivity
61,Email
57,DevOps
56,Media
56,Social
55,Security
55,Privacy
48,Women's Health
48,Fashion
46,Kids
45,Gaming
43,No-code
43,Web Development
41,Fintech
41,Lending
39,Dating
39,Social
37,Analytics
37,Sales
36,Messaging
34,Design
34,Collaboration
33,Education
33,Coding Bootcamps
28,Marketplace
27,Gaming
26,Developer Tools
26,Machine Learning
23,Marketplace
23,Travel
22,Marketing
21,Education
21,Gaming
17,Messaging
17,Dating
17,Social
12,Customer Service
439,Crypto / Web3
468,Grocery
468,Delivery
468,E-commerce
445,SaaS
445,B2B
445,Biotech
429,SaaS
429,Human Resources
429,Talent Acquisition
412,Education
412,SaaS
414,Fintech
414,Marketplace
442,SaaS
442,B2B
442,Automation
469,Social Media
469,Social
469,Social Network
467,Media
464,API
464,SMS
464,Telecommunications
461,Hardware
461,Robotics
460,Manufacturing
460,Apparel
460,Customization
446,B2B
446,Travel
444,SaaS
444,Crowdfunding
440,SaaS
440,B2B
438,Consumer
432,Finance
432,Investing
417,Developer Tools
417,Healthcare
417,Health Insurance
415,Fintech
415,Marketplace
409,SaaS
409,E-commerce
407,DevSecOps
407,Collaboration
407,Security
407,Open Source
405,Health Tech
405,Health Insurance
403,Health Tech
403,Diagnostics
402,Privacy
402,Advertising
395,Developer Tools
395,SaaS
462,eLearning
462,Edtech
455,Video
455,Advertising
443,Messaging
441,Investing
441,Big Data
434,SaaS
434,B2B
434,Customer Success
433,E-commerce
423,Design Tools
413,Education
413,Marketplace
413,Sustainable Tourism
410,Sustainability
410,Food Tech
398,Advertising
397,Education
397,Coding Bootcamps
394,Analytics
390,Email
389,Electric Vehicles
388,Education
388,Video
388,Personalization
387,Design
466,Developer Tools
466,Hard Tech
465,E-Commerce
465,Retail
465,Fashion
463,Travel
463,Booking
459,Design
458,Calendar
457,Mobility
456,DevOps
456,Cloud Computing
454,E-Commerce
454,Crowdfunding
453,Video
453,Media
452,HR Tech
451,Analytics
451,Advertising
450,E-Commerce
449,SaaS
449,Cloud Computing
448,Design Tools
447,Gaming
437,B2B
437,Marketing
435,Telecommunications
431,Logistics
431,Supply Chain
430,Video
430,Social
427,3D Printing
425,Developer Tools
424,Entertainment
424,Video
424,Music
422,Social
421,E-Commerce
421,Analytics
420,Developer Tools
418,Consumer Health Services
418,Social Network
411,Analytics
408,SaaS
406,Video
406,API
399,Robotics
399,Drones
396,Community
396,Social
392,Advertising
391,Artificial Intelligence
391,Analytics
391,Marketing
391,CRM
386,Travel
498,SaaS
498,Analytics
482,SaaS
482,B2B
482,Analytics
482,Data Engineering
507,HR Tech
475,Hardware
475,Biometrics
516,Crowdfunding
516,Healthcare
508,Marketplace
508,E-commerce
505,LegalTech
503,Fintech
503,Investing
500,Health Insurance
497,Marketplace
497,Crowdfunding
493,Artificial Intelligence
493,Retail Tech
492,Marketplace
492,E-Commerce
492,Fashion
491,E-commerce
490,Analytics
490,Open Source
490,Time Series
490,Databases
488,Data Engineering
486,Logistics
486,Supply Chain
484,LegalTech
481,Education
481,SaaS
479,Real Estate
479,Construction
473,Analytics
473,Big Data
471,Hardware
471,SaaS
512,Marketplace
512,E-Commerce
512,Retail
511,Artificial Intelligence
511,Logistics
511,E-commerce
506,Recruiting
506,Remote Work
504,Payments
499,Health Tech
499,Medical Devices
494,Security
494,Enterprise
485,Developer Tools
483,Analytics
478,Marketplace
478,SaaS
478,Travel
472,Team Collaboration
472,Collaboration
515,Neurotechnology
514,Analytics
513,Drones
513,Enterprise
509,Hardware
509,IoT
509,Manufacturing
502,Consumer Health Services
501,Marketplace
496,Delivery
496,Logistics
496,E-commerce
495,Social Media
495,Music
489,Transportation
489,Mobility
487,Workflow Automation
487,Healthcare
480,Education
480,Edtech
477,Fintech
477,Payments
476,Hardware
476,E-Commerce
474,No-code
470,Fashion
531,Marketplace
531,E-commerce
542,Artificial Intelligence
542,Legal
528,Open Source
528,DevOps
566,SaaS
566,Design
566,Marketing
563,Fintech
555,Travel
552,Automation
549,Education
549,SaaS
549,B2B
540,Subscriptions
534,Developer Tools
534,Indoor Mapping
534,IoT
532,Logistics
532,Supply Chain
522,Marketplace
522,B2B
517,Mental Health Tech
567,Fitness
567,Health & Wellness
564,Analytics
564,Social
561,E-Commerce
560,Monitoring
558,Analytics
558,Music
556,Fintech
556,Payments
556,B2B
554,Marketplace
554,Real Estate
546,Hardware
543,Marketplace
543,3D Printing
541,Delivery
541,Food & Beverage
533,SaaS
533,Legal
526,Recruiting
524,Delivery
523,Fintech
523,Payments
523,API
521,SaaS
521,B2B
518,Advertising
569,Education
569,Robotics
565,Developer Tools
565,Productivity
559,Digital Health
559,Restaurant Tech
557,Productivity
557,Feedback
553,Health Tech
550,Video
548,Education
548,Video
547,Augmented Reality
545,Marketing
545,SMB
544,Fashion
538,Productivity
538,Messaging
536,Marketplace
536,E-commerce
535,Collaboration
535,Remote
529,Education
529,eLearning
527,Marketplace
525,Developer Tools
525,DevOps
525,Cloud Computing
519,Immigration
630,SaaS
636,Developer Tools
636,SaaS
636,B2B
580,Fitness
580,Health & Wellness
580,Femtech
590,Autonomous Delivery
590,Machine Learning
590,Climate
590,AI
590,Self-Driving Vehicles
595,SaaS
595,Logistics
595,Supply Chain
647,Health Tech
647,Biotech
643,SaaS
643,B2B
642,Artificial Intelligence
642,Education
641,Artificial Intelligence
641,Generative AI
641,Consumer
641,Productivity
639,Energy Storage
639,Hard Tech
639,Climate
634,E-Commerce
633,Fintech
633,Marketplace
633,Community
633,Crowdfunding
628,Privacy
626,SaaS
626,B2B
626,Travel
626,Proptech
622,SaaS
622,B2B
622,Housing
622,Enterprise
622,Networks
619,Marketplace
616,Notifications
615,Marketplace
615,B2B
613,SaaS
613,Real Estate
613,Analytics
611,Fintech
611,Machine Learning
608,Nonprofit
603,Beauty
602,Productivity
602,Health & Wellness
600,SaaS
600,B2B
597,Fintech
597,SaaS
588,Education
587,Education
587,eLearning
587,Gaming
585,Consumer Health Services
583,Education
578,Marketplace
578,Logistics
578,Furniture
577,Health Tech
577,Digital Health
576,SaaS
576,B2B
574,Travel
574,LegalTech
574,Insurance
571,SaaS
571,Analytics
571,Retail
648,Video
648,Media
646,Analytics
645,Augmented Reality
645,E-Commerce
645,Fashion
637,Subscriptions
631,Developer Tools
631,NLP
631,APIs
618,Fintech
618,Travel
618,Enterprise Software
617,Delivery
617,Logistics
617,API
614,Open Source
614,Time Series
612,Machine Learning
612,Personalization
610,Sales Enablement
604,Advertising
599,Smart Home Assistants
599,IoT
599,Security
598,APIs
594,Ticketing
581,FinOps
581,Fintech
575,E-Commerce
575,Retail
573,Marketplace
573,Advertising
572,Fintech
572,SaaS
572,Payments
572,B2B
644,Deep Learning
638,Remote Work
635,Gaming
629,Fintech
629,Investing
627,Drones
627,Agriculture
625,Marketplace
624,IoT
624,Agriculture
623,E-Commerce
623,Retail
621,Team Collaboration
621,Remote
607,Messaging
605,Marketplace
605,Furniture
601,3D Printing
601,Advanced Materials
593,Hardware
593,IoT
592,Food & Beverage
591,Dating
589,Messaging
589,Email
584,Education
584,Kids
579,Video
729,Synthetic Biology
729,Diagnostics
729,Automation
700,Quantum Computing
731,Small Modular Reactors
731,Climate
662,Artificial Intelligence
662,Compliance
662,HR Tech
662,API
662,Enterprise Software
728,Fintech
728,B2B
728,Identity
705,Logistics
705,E-commerce
732,Nonprofit
730,Fusion Energy
730,Hard Tech
730,Climate
730,Energy
727,SaaS
719,Marketplace
719,B2B
719,Travel
714,SaaS
714,SMS
714,Email
711,Analytics
709,Navigation
703,B2B
703,Sales
702,Fintech
702,Crypto / Web3
695,Machine Learning
695,Health Tech
695,Digital Health
695,Healthcare
695,NLP
694,Privacy
694,Advertising
693,DeFi
693,Crypto / Web3
691,Advanced Materials
691,Automotive
688,Machine Learning
688,E-commerce
688,Apparel
687,Market Research
681,Crypto / Web3
681,Open Source
677,Marketplace
677,E-commerce
673,Developer Tools
673,Education
673,Gaming
670,Marketplace
670,Food & Beverage
658,Analytics
658,Subscriptions
653,Marketplace
653,International
651,Developer Tools
651,DevSecOps
651,DevOps
651,Web Development
651,Cloud Computing
738,Health & Wellness
736,Crowdfunding
736,Investing
735,SaaS
735,IoT
734,Biotech
734,Diagnostics
734,Genomics
722,Women's Health
717,Cellular Agriculture
717,Machine Learning
717,IoT
715,Fintech
715,Payments
704,Fintech
697,Community
697,Media
686,Hardware
686,Consumer
686,Food & Beverage
685,Health Tech
684,Marketplace
682,Fintech
682,Payments
680,SaaS
680,Human Resources
678,Analytics
678,Marketing
676,Analytics
675,SaaS
675,GovTech
675,B2B
666,SaaS
666,B2B
665,Consumer
665,E-commerce
663,Automation
661,Marketplace
659,Fintech
659,Crypto / Web3
655,Community
652,Messaging
733,Health & Wellness
726,IoT
726,Telecommunications
725,Delivery
725,Logistics
725,Food & Beverage
723,Fintech
723,Insurance
721,Biometrics
721,Payments
720,Artificial Intelligence
716,Crypto / Web3
713,Gaming
713,Analytics
712,Fintech
710,Gaming
707,Artificial Intelligence
707,Machine Learning
707,Sales
707,Marketing
707,CRM
706,Marketplace
698,Fintech
698,Neobank
696,Mental Health Tech
696,Telehealth
696,Digital Health
692,Education
692,Health Tech
690,AIOps
690,DevOps
690,Monitoring
689,SaaS
689,Social Media
689,Marketing
679,Furniture
674,Agriculture
674,Genetic Engineering
674,Biotechnology
672,Air Taxis
669,LegalTech
668,Crowdfunding
667,Hardware
657,Nanomedicine
656,Neurotechnology
656,Health Tech
654,Security
810,Developer Tools
810,DevSecOps
810,Open Source
739,Biotech
739,Drug discovery
739,Oncology
805,Health Tech
805,Diagnostics
809,Construction
767,E-commerce
767,Supply Chain
767,Food Tech
767,Agriculture
827,Banking as a Service
827,Fintech
827,Payments
827,India
857,Biotech
857,Therapeutics
856,Cashierless Checkout
856,Deep Learning
856,Hardware
856,Computer Vision
856,AI
853,Telehealth
853,Medical Devices
853,Digital Health
849,Mental Health
849,Conversational AI
848,Artificial Intelligence
848,Generative AI
848,SaaS
848,DevOps
848,AI
847,Marketplace
840,Medical Devices
835,Robotics
835,Biotech
834,Medical Devices
833,Fintech
833,Marketplace
833,Travel
817,SaaS
817,Cannabis
815,E-commerce
813,Carbon Capture and Removal
813,Bioplastic
813,Climate
811,SaaS
811,Nonprofit
811,B2B
808,Analytics
808,Social
807,Real Estate
807,Investing
802,Logistics
797,eLearning
797,Virtual Reality
797,Construction
797,Design Tools
797,Metaverse
791,Marketplace
791,B2B
791,Social Media
791,Advertising
791,Creator Economy
790,B2B
789,Machine Learning
789,Consumer Health Services
787,Consumer Health Services
787,Nonprofit
786,Open Source
786,Web Development
786,Cloud Computing
782,Developer Tools
782,Design Tools
781,Sustainability
781,Proptech
781,Energy
774,Education
774,eLearning
774,Video
774,HR Tech
774,Subscriptions
773,Marketplace
773,Consumer Health Services
764,Sustainability
763,Banking as a Service
763,Conversational Banking
763,Fintech
762,Drones
762,B2B
762,Renewable Energy
762,ClimateTech
762,AI
761,Crowdfunding
760,Crypto / Web3
760,Nonprofit
756,AI-powered Drug Discovery
756,Deep Learning
756,Biotech
756,Drug discovery
756,Oncology
755,Fintech
755,Solar Power
755,Climate
751,B2B
751,AI Assistant
749,Developer Tools
749,DevSecOps
749,SaaS
749,Kubernetes
749,Data Engineering
748,Healthcare
748,AI
740,SaaS
740,Digital Health
740,Healthcare
740,AI
1434,Civic Tech
1434,GovTech
855,E-Commerce
855,Supply Chain
846,Transportation
837,IoT
837,Transportation
830,Machine Learning
830,SaaS
830,AI
829,Fintech
825,B2B
824,Advertising
820,Messaging
820,Analytics
820,Notifications
818,Payments
818,E-Commerce
818,API
814,Travel
814,Booking
801,Marketplace
800,SaaS
800,GovTech
800,Procurement
799,Artificial Intelligence
799,Machine Learning
799,Enterprise
799,Data Engineering
798,Social
798,Referrals
796,Fintech
796,Investing
793,SaaS
793,Transportation
793,Mobility
792,Food Service Robots & Machines
792,Food Tech
788,SaaS
788,AI
785,Hardware
785,Medical Devices
780,Artificial Intelligence
780,Machine Learning
778,Developer Tools
778,Machine Learning
778,Data Science
777,Marketplace
777,Real Estate
769,SaaS
769,HR Tech
769,Restaurant Tech
768,SaaS
768,Productivity
768,Collaboration
768,Enterprise Software
759,Cybersecurity
759,Fraud Prevention
753,IoT
753,Travel
752,E-Commerce
752,Marketing
750,Security
750,Fraud Detection
746,Media
744,Machine Learning
744,SaaS
743,Payments
743,Security
854,Cybersecurity
854,Enterprise
852,Food Tech
850,Analytics
850,Advertising
845,Sleep Tech
845,Health Tech
843,Space Exploration
843,Satellites
839,Sleep Tech
839,Health Tech
838,Healthcare
832,Machine Learning
832,Computer Vision
832,Open Source
831,Social
828,Analytics
828,Security
823,GovTech
822,Artificial Intelligence
822,Augmented Reality
822,Computer Vision
821,Hardware
819,Developer Tools
819,DevOps
812,Fintech
812,Payments
804,Retail Tech
804,Retail
795,Marketplace
795,E-commerce
795,Food & Beverage
794,E-Commerce
794,Retail
784,Restaurant Tech
784,Retail
783,Scheduling
783,Healthcare
779,Manufacturing
775,Developer Tools
772,Fintech
766,Messaging
766,Team Collaboration
765,Investing
765,Stocks
758,Real Estate
758,Proptech
747,Artificial Intelligence
747,Biotech
944,eLearning
870,Fintech
870,Investing
967,Fintech
967,SaaS
967,Human Resources
967,HR Tech
967,Investing
966,Drones
966,Delivery
964,Hardware
964,Health Tech
963,Marketplace
962,Medical Devices
962,Biotech
962,Diagnostics
961,Indoor Mapping
961,Gardening
960,Developer Tools
960,Video
952,SaaS
952,Data Engineering
949,Marketplace
949,SaaS
949,Entertainment
946,Consumer
943,Developer Tools
943,SaaS
943,Design Tools
943,Open Source
941,Nonprofit
938,Fintech
938,Payments
937,Travel
937,Video
936,Hardware
936,Computer Vision
936,Consumer Health Services
932,Fintech
932,India
931,Fintech
931,Finance
928,SaaS
925,AIOps
925,Marketplace
925,SaaS
925,HR Tech
923,Digital Health
923,Healthcare
922,Developer Tools
922,SaaS
922,Design Tools
921,Fashion
915,Consumer Health Services
915,Primary Care
914,Education
914,Fintech
914,SaaS
914,B2B
913,Fintech
908,Medical Devices
908,Healthcare
908,Telemedicine
902,AI-powered Drug Discovery
902,Biotech
902,Healthcare
901,Vertical Farming
901,Agriculture
901,Sustainable Agriculture
900,Fintech
900,SaaS
900,B2B
898,Climate
898,Energy
896,Solar Power
896,Climate
889,SaaS
889,B2B
889,Cannabis
889,Compliance
889,Enterprise Software
888,Marketplace
888,E-Commerce
884,Cloud Gaming
884,Developer Tools
884,Gaming
878,Developer Tools
878,Hardware
878,Marketplace
878,AI
876,SaaS
876,Augmented Reality
873,Marketplace
873,SaaS
873,B2B
872,Logistics
872,Manufacturing
872,China
871,E-Commerce
871,Customization
869,Fintech
869,Nonprofit
869,Housing
866,SaaS
866,LegalTech
865,Community
864,Food Service Robots & Machines
864,Hardware
864,Robotics
862,Developer Tools
862,DevSecOps
862,Next-gen Network Security
861,Logistics
969,SaaS
969,Smart Locks
969,Proptech
959,Health Tech
956,Hardware
956,Sustainability
956,Climate
956,ClimateTech
954,Robotics
953,Education
948,Media
948,eSports
939,Fintech
930,Recruiting
930,HR Tech
927,FinOps
927,Fintech
927,Payments
927,Productivity
926,Solar Power
926,Climate
911,Developer Tools
911,SaaS
909,Security
909,Monitoring
907,Recruiting
905,Documents
905,Consumer
905,B2B
905,LegalTech
905,Insurance
894,DevSecOps
893,SaaS
893,Human Resources
893,B2B
893,Collaboration
893,HR Tech
891,Cybersecurity
890,Kubernetes
879,Analytics
877,Fintech
868,Beauty
868,Health & Wellness
867,SaaS
867,Recruiting
860,SaaS
970,SaaS
958,Marketplace
958,Beauty
955,Health Tech
955,Medical Devices
951,Food & Beverage
950,Marketplace
950,Logistics
950,Transportation
947,Manufacturing
945,Fintech
940,Cybersecurity
935,E-Commerce
935,Personalization
933,Artificial Intelligence
933,Hardware
933,Computer Vision
933,Energy
929,SaaS
929,Computer Vision
929,Retail Tech
920,Messaging
918,eLearning
918,Data Science
917,LegalTech
906,Food Service Robots & Machines
903,Video
897,SaaS
897,Consumer Health Services
892,Robotics
892,Logistics
892,E-commerce
887,Health Tech
887,Insurance
885,Drones
885,Logistics
882,Education
881,Construction
875,Artificial Intelligence
875,LegalTech
874,Marketplace
874,B2B
874,Travel
863,Blockchain
863,Fintech
863,Cannabis
863,Healthcare
982,Autonomous Trucking
1005,Fintech
1058,Artificial Intelligence
1058,Cashierless Checkout
1058,Computer Vision
1058,Retail Tech
1067,Consumer Health Services
1021,Fintech
1091,Developer Tools
1091,SaaS
1091,B2B
1042,Fintech
1042,SaaS
1042,B2B
1042,AI
1103,Fintech
1103,Delivery
1103,Latin America
999,Deep Learning
999,Grocery
999,Computer Vision
997,SaaS
997,Messaging
997,Team Collaboration
996,Developer Tools
996,Open Source
996,AI
996,AI Assistant
995,Hardware
994,Education
994,Marketplace
991,Hardware
991,SaaS
991,Logistics
990,Transportation
989,Food & Beverage
988,Artificial Intelligence
988,Consumer Health Services
988,Medical Devices
987,Documents
987,SaaS
987,Productivity
987,Sales
985,Messaging
985,Chatbots
984,Marketplace
978,Compliance
978,Privacy
977,AI-Enhanced Learning
977,Artificial Intelligence
977,API
973,HR Tech
972,Developer Tools
972,Video
972,API
1214,Security
1101,AI-powered Drug Discovery
1101,Consumer Health Services
1101,Telemedicine
1098,Education
1098,Community
1098,Diversity & Inclusion
1097,Synthetic Biology
1097,Climate
1097,Biotechnology
1093,Space Exploration
1093,Satellites
1086,Documents
1086,SaaS
1082,Hardware
1082,Cloud Computing
1081,Transportation
1081,Aerospace
1080,Machine Learning
1080,Space Exploration
1080,Rocketry
1080,3D Printing
1080,Manufacturing
1079,Developer Tools
1079,SaaS
1079,B2B
1079,Messaging
1079,Enterprise
1076,Mental Health Tech
1076,Community
1076,Social Media
1068,Analytics
1065,Hardware
1065,Fitness
1065,Gaming
1063,Industrial Workplace Safety
1063,SaaS
1063,IoT
1055,Nonprofit
1053,Biotech
1053,AI
1052,Marketplace
1052,Logistics
1052,India
1051,Artificial Intelligence
1051,Robotics
1051,Energy
1051,Big Data
1051,Data Engineering
1049,E-Commerce
1049,Emerging Markets
1047,Developer Tools
1047,SaaS
1047,Design Tools
1044,Sales
1044,Marketing
1043,Cybersecurity
1041,Analytics
1038,Developer Tools
1038,SaaS
1038,B2B
1037,Beauty
1037,Personalization
1037,E-commerce
1034,SaaS
1034,Design Tools
1033,Deep Learning
1033,Customer Service
1033,AI
1032,Developer Tools
1032,SaaS
1032,Security
1032,Fraud Detection
1030,Robotics
1030,Synthetic Biology
1030,Biotech
1028,Productivity
1028,Consumer Products
1028,Email
1022,Marketplace
1022,Transportation
1020,Machine Learning
1020,SaaS
1020,Sports Tech
1020,B2B
1020,Video
1018,SaaS
1018,Payments
1018,Messaging
1018,Scheduling
1016,Machine Learning
1016,GovTech
1016,Unmanned Vehicle
1012,Robotics
1012,Climate
1010,Marketplace
1010,SaaS
1010,Entertainment
1009,SaaS
1009,B2B
1009,Food Tech
1007,IoT
1007,Home Automation
1006,Social
979,Fintech
979,SaaS
979,B2B
979,Lending
1099,Mental Health Tech
1099,Digital Health
1089,Marketplace
1089,B2B
1089,E-commerce
1088,Analytics
1088,Retail
1084,Artificial Intelligence
1084,Sales
1074,Medical Devices
1057,Developer Tools
1054,Fintech
1054,Proptech
1050,Fintech
1025,Food Tech
1019,Artificial Intelligence
1019,Machine Learning
1019,Video
1017,Analytics
1017,Energy
1014,Medical Devices
1014,Diagnostics
1014,Genomics
1013,Fintech
1013,Marketplace
1000,Biotech
998,Artificial Intelligence
998,Finance
998,Trading
986,Fintech
986,Real Estate
980,Music
976,Sales
1095,Health Tech
1095,Insurance
1095,Health & Wellness
1087,Auto Commerce
1085,Social Media
1085,Live
1083,Recruiting
1083,Talent Acquisition
1077,Networks
1075,Entertainment
1075,Gaming
1073,Reinforcement Learning
1073,Warehouse Management Tech
1073,Supply Chain
1072,Hard Tech
1072,Diagnostics
1072,Nanotechnology
1070,E-Commerce
1070,Fashion
1066,Supply Chain
1066,Agriculture
1064,Logistics
1064,Climate
1062,Insurance
1061,Delivery
1061,E-Commerce
1061,Logistics
1060,SaaS
1059,Sports Tech
1046,Health Tech
1040,Security
1039,Analytics
1039,Marketing
1035,AR
1031,Real Estate
1029,Marketplace
1027,Insurance
1027,Home Services
1026,Electric Vehicles
1026,Self-Driving Vehicles
1024,Smart Clothing
1023,Health Tech
1023,Biotech
1023,Diagnostics
1011,Medical Devices
1008,Health Tech
1003,Fintech
1003,Insurance
1002,Marketplace
1002,Community
1001,IoT
1001,Kids
1433,Messaging
1433,API
1270,Media
1266,E-commerce
1266,Retail
1352,Hard Tech
1352,Hardware
1352,Consumer
1352,Identity
1294,Artificial Intelligence
1294,Machine Learning
1347,Developer Tools
1344,SaaS
1344,Digital Health
1344,Healthcare
1340,eLearning
1340,Social Media
1340,Video
1339,Education
1339,Marketplace
1299,Artificial Intelligence
1299,SaaS
1299,Enterprise
1298,Autonomous Delivery
1298,Mobility
1298,Energy
1298,Electric Vehicles
1298,Automotive
1287,Sales Enablement
1286,Education
1284,Fintech
1277,Fintech
1276,Marketplace
1276,Sustainable Fashion
1276,E-commerce
1275,IoT
1275,Climate
1275,Energy
1275,ClimateTech
1274,Fintech
1274,Travel
1272,Health Tech
1272,Medical Devices
1272,Biotech
1272,Healthcare
1271,Marketplace
1269,Beauty
1269,SMB
1265,SaaS
1265,Construction
1265,Enterprise
1264,Assistive Tech
1264,Consumer Health Services
1252,Customer Service
1251,Artificial Intelligence
1251,Synthetic Biology
1251,Biotech
1251,Manufacturing
1251,Drug discovery
1249,Fintech
1249,LegalTech
1246,Nonprofit
1243,Healthcare
1243,Diagnostics
1239,Consumer
1239,E-commerce
1239,Furniture
1239,Retail
1233,Robotics
1232,Education
1232,Nonprofit
1232,Community
1229,Consumer
